SampleID	height	tiller	wetWeight
A4001Hd	99	40	239.77
A4001He	97	13	54.95
A4001Hf	92	27	130.03
A4002Ha	71	36	137.75
A4002Hb	74	26	125.3
A4002Hc	74	21	129.68
A4002Hd	74	19	117.09
A4002He	80	20	103.45
A4002Hf	80	18	96.6
A4004Ha	61	41	132.53
A4004Hb	57	44	116.06
A4004Hc	57	38	105.67
A4004Hd	56	46	123.81
A4004He	60	47	150.08
A4004Hf	56	48	125.75
A4008Ha	83	32	137.85
A4008Hb	81	27	100.4
A4008Hc	87	35	135.O7
A4008Hd	84	31	132.47
A4008He	82	44	196.54
A4008Hf	81	37	152.22
A4010Ha	90	27	103.02
A4010Hb	90	43	167.78
A4010Hc	92	41	162.78
A4010Hd	91	40	154.56
A4010He	95	37	145.82
A4010Hf	93	37	151.59
B4020Ha	91	28	137.25
B4020Hb	90	20	122.46
B4020Hc	73	14	54.31
B4020Hd	96	27	150.19
B4020He	86	21	97.51
B4020Hf	85	29	146.59
C4021Ha	108	19	145.93
C4021Hb	97	16	107.89
C4021Hc	99	17	150.88
C4021Hd	101	18	143.51
C4021He	107	18	157.03
C4021Hf	117	19	145.15
C4022Ha	85	19	90.79
C4022Hb	80	23	112.38
C4022Hc	86	24	123.55
C4022Hd	83	20	103.56
C4022He	85	19	116.51
C4022Hf	86	17	111.36
C4027Ha	95	23	165.05
C4027Hb	94	23	150.46
C4027Hc	103	25	177.37
C4027Hd	91	19	144.35
C4027He	105	16	125.24
C4027Hf	102	22	137.86
E4044Ha	103	18	140.77
E4044Hb	100	22	173.88
E4044Hc	103	29	183.76
E4044Hd	105	25	214.52
E4044He	99	19	143.13
E4044Hf	102	16	98.79
F4058Ha	70	11	43.38
F4058Hb	80	15	69.7
F4058Hc	70	18	69.2
F4058Hd	77	18	101.05
F4058He	77	17	84.5
F4058Hf	71	20	90.645
G4065Ha	78	18	94.5
G4065Hb	80	20	79.96
G4065Hc	74	15	83.84
G4065Hd	79	14	61.15
G4065He	72	27	102.24
G4065Hf	71	16	69
G4068Ha	94	28	172.84
G4068Hb	98	25	152.33
G4068Hc	106	25	171.17
G4068Hd	110	27	190.55
G4068He	87	11	50.51
G4068Hf	110	26	181.93
G4069Ha	27	27	173.83
G4069Hb	89	30	183.51
G4069Hc	84	29	153.94
G4069Hd	87	36	164.84
G4069He	92	27	170.73
G4069Hf	95	30	202.01
H4978Ha	79	27	111.72
H4978Hb	80	19	91.69
H4978Hc	76	26	106.66
H4978Hd	80	26	121.15
H4978He	86	29	141.95
H4978Hf	76	14	59.1
H4079Ha	105	27	142.6
H4079Hb	108	22	113.94
H4079Hc	108	22	98.84
H4079Hd	111	31	181.89
H4079He	101	20	84.51
H4079Hf	87	18	57.7
K4097Ha	89	20	116.31
K4097Hb	76	9	34.75
K4097Hc	96	24	173.83
K4097Hd	100	18	152.7
K4097He	97	33	229.05
K4097Hf	91	22	113.98
K4099Ha	84	25	126.08
K4099Hb	83	37	176.31
K4099Hc	78	34	152.32
K4099Hd	82	31	110.04
K4099He	76	36	112.91
K4099Hf	70	28	71.13
L4101Ha	90	27	123.12
L4101Hb	88	26	112.98
L4101Hc	96	31	137.23
L4101Hd	88	29	130.6
L4101He	83	21	92.3
L4101Hf	93	32	136.27
L4103Ha	89	24	100.98
L4103Hb	87	36	151.5
L4103Hc	88	29	151.55
L4103Hd	100	27	126.35
L4103He	89	18	91.77
L4103Hf	92	29	121.69
L4107Ha	80	23	115.83
L4107Hb	80	25	99.41
L4107Hc	83	24	102.17
L4107Hd	83	20	78.59
L4107He	79	24	98.93
L4107Hf	79	23	97.13
L4108Ha	118	41	250.25
L4108Hb	97	35	211.06
L4108Hc	103	29	179.6
L4108Hd	94	18	93.17
L4108He	94	18	91.25
L4108Hf	96	25	126.97
L4109Ha	100	20	148.29
L4109Hb	105	25	168.25
L4109Hc	109	21	136.36
L4109Hd	103	25	190.82
L4109He	109	26	191.1
L4109Hf	103	14	97.84
L4110Ha	94	41	208.63
L4110Hb	103	22	87.41
L4110Hc	97	25	110.36
L4110Hd	100	31	161.36
L4110He	96	46	218.9
L4110Hf	103	43	213.15
P4136Ha	103	19	119.72
P4136Hb	114	18	132.69
P4136Hc	109	55	320.9
P4136Hd	109	19	155.94
P4136He	104	23	147.2
P4136Hf	111	24	140.24
R4155Ha	103	31	197.35
R4155Hb	107	29	218.04
R4155Hc	111	22	147.65
R4155Hd	92	23	122.26
R4155He	97	20	115.82
R4155Hf	102	32	194.85
R4158Ha	102	30	175.83
R4158Hb	103	32	202.71
R4158Hc	99	26	173.64
R4158Hd	98	28	152.23
R4158He	98	32	212.67
R4158Hf	100	23	152.07
S4166Ha	100	56	353.07
S4166Hb	115	34	205.89
S4166Hc	114	49	283.93
S4166Hd	107	30	182.13
S4166He	120	40	238.14
S4166Hf	105	54	296.79
X4206Ha	105	16	117.69
X4206Hb	103	21	138.02
X4206Hc	121	16	126.28
X4206Hd	101	23	174.96
X4206He	107	20	163.24
X4206Hf	109	17	136.36
X4210Ha	79	33	129.43
X4210Hb	89	40	167.48
X4210Hc	84	53	233.31
X4210Hd	84	48	215.47
X4210He	75	18	57.23
X4210Hf	75	42	171.94
Y4216Ha	74	35	147.62
Y4216Hb	74	28	115.58
Y4216Hc	72	30	98.1
Y4216Hd	73	37	138.51
Y4216He	72	31	121.9
Y4216Hf	74	32	129.97
Y4217Ha	71	37	115.53
Y4217Hb	74	39	126.3
Y4217Hc	65	28	90.5
Y4217Hd	67	34	116.18
Y4217He	80	46	142.7
Y4217Hf	61	32	94.24
U5000Ha	108	31	218.17
U5000Hb	105	26	192.68
U5000Hc	112	29	178.01
U5000Hd	109	21	115.91
U5000He	107	20	138.57
U5000Hf	92	19	111.76
U5001Ha	97	30	214.26
U5001Hb	103	21	147.52
U5001Hc	96	28	162.64
U5001Hd	103	33	188.82
U5001He	94	22	116.97
U5001Hf	108	35	203.21
U5100Ha	83	39	116.78
U5100Hb	85	38	124.8
U5100Hc	89	49	162.27
U5100Hd	94	32	108.66
U5100He	90	29	102.56
U5100Hf	90	33	137.18
U5101Ha	90	29	129.36
U5101Hb	87	21	97.26
U5101Hc	86	23	126.16
U5101Hd	82	22	75.33
U5101He	80	32	117.39
U5101Hf	78	26	105.72
A4003Ha	71	20	52.89
A4003Hb	66	21	73.35
A4003Hc	76	24	100.82
A4003Hd	75	14	56.44
A4003He	72	19	73.41
A4003Hf	68	32	103.57
A4005Ha	78	17	45.84
A4005Hb	76	23	80.94
A4005Hc	86	21	68.57
A4005Hd	71	27	80.72
A4005He	84	23	90.86
A4005Hf	78	19	45.37
A4006Ha	65	27	101.05
A4006Hb	58	22	82.57
A4006Hc	62	19	53.84
A4006Hd	58	25	59.27
A4006He	62	23	68.27
A4006Hf	60	32	79.87
A4007Ha	70	22	55.65
A4007Hb	66	18	38.81
A4007Hc	67	21	69
A4007Hd	73	24	81.07
A4007He	68	15	53.05
A4007Hf	61	18	45.01
A4009Ha	81	17	70.56
A4009Hb	92	17	96.6
A4009Hc	84	23	122.61
A4009Hd	74	19	81.89
A4009He	75	25	83.47
A4009Hf	72	23	76.39
B4011Ha	84	16	92.09
